Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,latitude,longitude
894,Transition to Democracy,20,November,1975,Spain,Political Transition,Spain,Transition from dictatorship to democracy,Spanish population,Juan Carlos I of Spain,Positive,40.46366700000001,-3.74922
895,2004 Madrid Train Bombings,11,March,2004,Spain,Terrorism,Madrid,Highlighted the threat of international terrorism,Citizens of Madrid,Terrorist groups,Negative,40.41672790000001,-3.7032905
896,SpanishUnknownAmerican War,25,April,1898,Spain/USA,War,"Cuba, Philippines, Puerto Rico, Guam",Spain loses its last colonies in the Americas and Asia,Spanish and American populations,"Spanish Government, US Government",Negative,12.879721,121.774017
897,Entry into the European Union,1,January,1986,Spain,Political/Economic Integration,Europe,Boosted economic growth and integration into European community,Spanish population,Spanish Government,Positive,40.46366700000001,-3.74922
898,Discovery of the Americas,12,October,1492,Spain,Exploration,Americas,Opened the New World to European colonization,"Indigenous peoples of the Americas, Europeans","Christopher Columbus, Spanish Monarchy",Mixed,40.46366700000001,-3.74922
899,Expulsion of the Jews,31,March,1492,Spain,Religious/Political,Spain,"Forced conversion, departure, or death of thousands of Jews",Jewish population,Catholic Monarchs (Isabella I and Ferdinand II),Negative,40.46366700000001,-3.74922
900,Battle of Trafalgar,21,October,1805,Spain,Naval Battle,Atlantic Ocean near Cape Trafalgar,Decisive British victory that ended Napoleon's plans to invade Britain,Spanish and French Navies,"FrancoUnknownSpanish fleet, British Navy",Negative,36.1886033,-6.0321884
901,Union of Castile and Aragon,Unknown,Unknown,1469,Spain,Dynastic Union,Spain,Unified the crowns of Castile and Aragon,Spanish Kingdoms,Isabella I of Castile and Ferdinand II of Aragon,Positive,40.46366700000001,-3.74922
902,The Spanish Golden Age,Unknown,Unknown,1650,Spain,Cultural Flourishing,Spain,Flourishing of arts and literature,Spanish population,Spanish Monarchy,Positive,40.46366700000001,-3.74922
903,War of the Spanish Succession,Unknown,Unknown,1701,Spain,War,Europe,Redefined European power balance,European powers,"Charles II, Philip V of Spain",Mixed,40.46366700000001,-3.74922
904,Signing of the Treaty of Utrecht,11,April,1713,Spain,Peace Treaty,Utrecht,Ended the War of the Spanish Succession,European powers,"Philip V of Spain, European powers",Negative,52.09192549999999,5.1229572
905,Peninsular War,2,May,1808,Spain,War,Iberian Peninsula,"Weakened Spanish control, rise of national sentiment",Spanish population,"Napoleon Bonaparte, Spanish guerrillas",Negative,40.4830106,-4.087557299999999
906,Spanish Constitution of 1812,19,March,1812,Spain,Political,Cadiz,"Liberal constitution, shortUnknownlived reforms",Spanish population,Spanish Cortes of Cádiz,Mixed,36.5210142,-6.2804565
907,SpanishUnknownAmerican War,Unknown,Unknown,1898,Spain,Colonial War,"Cuba, Philippines",Loss of last major overseas colonies,"Spanish Empire, local populations","Spanish Government, US Government",Negative,12.879721,121.774017
908,Francoist Spain,1,April,1939,Spain,Dictatorship,Spain,Establishment of a dictatorship,Spanish population,Francisco Franco,Negative,40.46366700000001,-3.74922
909,Spanish Transition to Democracy,Unknown,Unknown,1975,Spain,Political Transition,Spain,Transition from dictatorship to democracy,Spanish population,"Adolfo Suárez, Juan Carlos I",Positive,40.46366700000001,-3.74922
910,Barcelona Olympics,25,July,1992,Spain,International Event,Barcelona,Showcased Spain on the global stage,"International, Spanish population","International Olympic Committee, Spanish Government",Positive,41.3873974,2.168568
911,AntiUnknownterrorism Pact,8,December,2000,Spain,Political,Spain,Bipartisan effort against ETA terrorism,Spanish population,Spanish political parties,Positive,40.46366700000001,-3.74922
912,Financial Crisis Impact,Unknown,Unknown,2008,Spain,Economic,Spain,"Severe economic downturn, unemployment rise",Spanish population,Global Financial Crisis,Negative,40.46366700000001,-3.74922
913,Catalan Independence Referendum,1,October,2017,Spain,Political/Secession,Catalonia,Intensified national debate on regional independence,"Catalan population, Spanish population","Catalan Government, Spanish Government",Negative,41.5911589,1.5208624
914,Women's Rights March,8,March,2018,Spain,Social Movement,Nationwide,Largest feminist demonstration in Spanish history,"Spanish population, especially women",Women's rights organizations,Positive,40.46366700000001,-3.74922
915,Exhumation of Francisco Franco,24,October,2019,Spain,Historical Reconciliation,Valle de los Caídos,Addressed historical memory issues,Spanish population,Spanish Government,Positive,40.6419103,-4.1508807
916,Madrid's Bid for 2020 Olympics,7,September,2013,Spain,International Event,Madrid,"Boosted city's infrastructure and global image, despite not winning the bid","Madrid's population, International","Spanish Government, IOC",Mixed,40.41672790000001,-3.7032905
917,Approval of SameUnknownSex Marriage,30,June,2005,Spain,Social Policy,Spain,Made Spain one of the first countries to legalize sameUnknownsex marriage,"LGBTQ+ community, Spanish population",Spanish Government,Positive,40.46366700000001,-3.74922
918,ETA's Permanent Ceasefire,20,October,2011,Spain,Peace/Security,Basque Country,End of ETA's armed campaign for Basque independence,"Basque population, Spanish population","ETA, Spanish Government",Positive,42.9896248,-2.6189273
919,Austerity Measures During Crisis,Unknown,Unknown,2010,Spain,Economic Policy,Spain,"Addressed economic crisis, led to social unrest",Spanish population,"Spanish Government, EU",Negative,40.46366700000001,-3.74922
920,NoUnknownConfidence Vote Against Rajoy,1,June,2018,Spain,Political,Spain,"Led to the fall of Rajoy's government, Pedro Sánchez becomes Prime Minister",Spanish population,Spanish Parliament,Mixed,40.46366700000001,-3.74922
921,Discovery of Altamira Cave Paintings,Unknown,Unknown,1879,Spain,Archaeological Discovery,Altamira,Revealed prehistoric human presence in Europe,"Academic community, worldwide",Marcelino Sanz de Sautuola,Positive,43.0514316,-2.173688100000001
922,Spanish Flu Pandemic,Unknown,Unknown,1918,Spain,Health Crisis,Worldwide,One of the deadliest pandemics in human history,Global population,H1N1 influenza virus,Negative,40.46366700000001,-3.74922
923,Alhambra Decree,31,March,1492,Spain,Religious Policy,Granada,Expulsion of the Jews from Spain,Jewish population in Spain,Catholic Monarchs,Negative,37.1824607,-3.601167599999999
924,Spanish Constitution of 1978,6,December,1978,Spain,Political,Spain,Established modern democratic constitution,Spanish population,"Spanish Government, King Juan Carlos I",Positive,40.46366700000001,-3.74922
925,2010 FIFA World Cup Victory,11,July,2010,South Africa,Sports,Johannesburg,"First World Cup win, boosted national pride","Spanish population, international",Spanish National Football Team,Positive,-26.205647,28.0337185
926,Launch of AVE HighUnknownSpeed Train,21,April,1992,Spain,Infrastructure,Between MadridUnknownSeville,Modernized Spain's transport system,"Spanish population, travelers",Spanish Government,Positive,40.46366700000001,-3.74922
927,Law of Historical Memory,26,December,2007,Spain,Legislation,Spain,"Addressed the legacy of Franco's regime, civil war victims",Spanish population,Spanish Government,Positive,40.46366700000001,-3.74922
928,Sinking of the Spanish Armada,8,August,1588,England,Naval Engagement,English Channel,Marked decline of Spanish naval supremacy,"Spanish Navy, English Navy","Philip II of Spain, Elizabeth I of England",Negative,50.134664,-0.357056
929,The Great Siege of Gibraltar,24,June,1779,Gibraltar,Military Siege,Gibraltar,Failed Spanish attempt to retake Gibraltar from Britain,"British and Spanish military, Gibraltar residents","Spanish and French forces, British defenders",Negative,36.140751,-5.353585
930,Leyes de Indias,Unknown,Unknown,1542,Spain,Colonial Legislation,Spanish America,Regulated the treatment of indigenous peoples in the Spanish Empire,"Indigenous populations, Spanish colonists",Spanish Crown,Mixed,40.46366700000001,-3.74922
935,Introduction of Phoenician Trade,Unknown,Unknown,1100 BC,Spain,Economic/Cultural,Gadir (Cádiz),"Early Phoenician traders establish contacts, leading to cultural and economic exchanges","Local inhabitants, Phoenicians",Phoenician traders,Positive,36.5210142,-6.2804565
936,Battle of Guadalete,Unknown,Unknown,711,Spain,Military Conquest,Guadalete River,Marked the beginning of Muslim rule in the Iberian Peninsula,"Visigothic Kingdom, Muslims","Tariq ibn Ziyad, King Roderic",Negative,36.76735997550564,-5.774586274543583
940,Establishment of Gadir by Phoenicians,Unknown,Unknown,1100 BC,Spain,Colonial Settlement,Gadir (Cádiz),One of the oldest continuously inhabited cities in Western Europe,"Local inhabitants, Phoenicians",Phoenician traders,Positive,36.5210142,-6.2804565
941,Gorm the Old Reign,Unknown,Unknown,940,Denmark,Monarchical,Denmark,"Established the Danish monarchy, unified Denmark.",Danish tribes,Gorm the Old,Positive,56.26392,9.501785
942,Christianization of Denmark,Unknown,Unknown,960,Denmark,Religious,Denmark,Introduction and establishment of Christianity.,Danish population,Harald Bluetooth,Mixed,56.26392,9.501785
944,Christianization of Norway,Unknown,Unknown,1000,Norway,Religious,Norway,Introduction and establishment of Christianity.,Norwegian tribes,"Olaf Tryggvason, St. Olaf",Mixed,60.47202399999999,8.468945999999999
945,Swedish Conquest of Finland,Unknown,Unknown,1150,Finland,Military,Finland,Brought Finland under Swedish rule.,Finnish tribes,Swedish Kingdom,Negative,61.92410999999999,25.748151
946,Establishment of the Kalmar Union,Unknown,Unknown,1397,Denmark,Political Union,"Kalmar, Sweden",United the Nordic countries under a single monarch.,Scandinavian kingdoms,Margaret I,Mixed,56.6634447,16.356779
947,Black Death in Norway,Unknown,Unknown,1349,Norway,Pandemic,Norway,"Decimated the population, leading to societal shifts.",Norwegian population,Unknown,Negative,60.47202399999999,8.468945999999999
948,Establishment as Swedish Duchy,Unknown,Unknown,1362,Finland,Administrative,Finland,Formalized Finnish inclusion in the Swedish Kingdom.,Finns,Swedish Crown,Mixed,61.92410999999999,25.748151
949,Treaty of Roskilde,26,February,1658,Denmark,Peace Treaty,Roskilde,Denmark ceded significant territories to Sweden.,DanishUnknownSwedish populations,Frederick III of Denmark,Negative,55.64191,12.087845
950,Dissolution of the Kalmar Union,Unknown,Unknown,1814,Norway,Political Separation,Norway,Led to the establishment of a separate Norwegian kingdom.,Norwegians,Christian Frederick,Positive,60.47202399999999,8.468945999999999
951,Finnish War and Cession to Russia,Unknown,Unknown,1809,Finland,Military,Finland,"Finland ceded from Sweden to Russia, becoming a Grand Duchy.","Finns, Swedes, Russians",Alexander I of Russia,Negative,61.92410999999999,25.748151
952,Winter War,Unknown,Unknown,1939,Finland,Military,Finland,Resisted Soviet invasion,Finns,Soviet Union,Mixed,61.92410999999999,25.748151
953,Liberation of Denmark,5,May,1945,Denmark,Military,Denmark,End of German occupation during WWII.,Danes,Allied Forces,Positive,56.26392,9.501785
954,Liberation of Norway,8,May,1945,Norway,Military,Norway,End of German occupation during WWII.,Norwegians,Allied Forces,Positive,60.47202399999999,8.468945999999999
955,Continuation War,Unknown,Unknown,1941,Finland,Military,Finland,Fought against the Soviet Union,Soviet Union,Nazi Germany,Mixed,61.92410999999999,25.748151
956,Copenhagen Fire,Unknown,Unknown,1728,Denmark,Disaster,Copenhagen,Devastated large parts of Copenhagen.,Danish population,Unknown,Negative,55.6760968,12.5683371
957,Union with Sweden,4,November,1814,Norway,Union,Norway,Entered a personal union with Sweden.,Norwegians,Unknown,Mixed,60.47202399999999,8.468945999999999
958,Lapland War,Unknown,Unknown,1944,Finland,Military,Lapland,Finland,German soldiers,Finnish Army,Positive,67.9222304,26.5046438
959,First Schleswig War,Unknown,Unknown,1848,Denmark,Military,Schleswig,Danish victory preserved control over the duchies.,Danes,Germans,Positive,56.26392,9.501785
960,Norwegian Independence,7,June,1905,Norway,Independence,Norway,Dissolution of the union with Sweden,Norwegians,Unknown,Positive,60.47202399999999,8.468945999999999
961,Finnish Civil War,Unknown,Unknown,1918,Finland,Civil War,Finland,Conflict between Reds and Whites,Finns,Unknown,Negative,61.92410999999999,25.748151
962,Second Schleswig War,Unknown,Unknown,1864,Denmark,Military,Schleswig,Danish loss of SchleswigUnknownHolstein to Prussia and Austria.,Danes,Unknown,Negative,56.26392,9.501785
963,Founding of Oslo,Unknown,Unknown,1048,Norway,Foundational,Oslo,Establishment of Oslo,Norwegians,Harald Hardrada,Positive,59.9138688,10.7522454
964,Signing of the Treaty of Fredrikshamn,Unknown,September,1809,Finland,Treaty,Fredrikshamn,Finland ceded from Sweden to Russia, Swedes,Alexander I of Russia,Negative,60.57188110000001,27.19058
969,Discovery of Diamonds,Unknown,Unknown,1867,South Africa,Economic,Kimberley,"Sparked the diamond rush, leading to economic boom.",South Africans,Erasmus Jacobs,Mixed,-28.7435198,24.7626077
970,Amalgamation of Northern and Southern Protectorates,Unknown,Unknown,1914,Nigeria,Political,Nigeria,Formation of the modern Nigerian state.,Nigerians,Lord Lugard,Mixed,9.081999,8.675277
971,Mau Mau Uprising,Unknown,Unknown,1952,Kenya,Independence Movement,Kenya,Led to Kenyan independence from British rule.,Kenyans,"Mau Mau fighters, British colonial government",Mixed,-0.023559,37.906193
972,Algerian War of Independence,Unknown,Unknown,1954,Algeria,War,Algeria,Led to Algerian independence from France.,Algerians,"FLN, French Government",Positive,28.033886,1.659626
973,Italian Invasion of Libya,Unknown,Unknown,1911,Libya,Military Invasion,Libya,Beginning of Italian colonial rule.,Libyans,Kingdom of Italy,Negative,26.3351,17.228331
974,Independence from France,20,March,1956,Tunisia,Independence,Tunisia,End of French colonial rule.,Tunisians,"Habib Bourguiba, French Government",Positive,33.886917,9.537499
975,Great Zimbabwe Era,Unknown,Unknown,1450,Zimbabwe,Civilization,Great Zimbabwe,Development of a sophisticated urban and trading society.,Zimbabweans,Unknown,Positive,-19.015438,29.154857
976,Foundation of Marrakech,Unknown,Unknown,1062,Morocco,City Foundation,Marrakech,Establishment of Marrakech as a major economic center.,Moroccans,Almoravid dynasty,Positive,31.6225224,-7.989825799999999
977,Portuguese Colonialism Begins,Unknown,Unknown,1482,Angola,Colonial,Angola,Start of Portuguese exploration and later colonization.,Angolans,Portuguese explorers,Negative,-11.202692,17.873887
978,Suez Canal Opening,17,November,1869,Egypt,Engineering Marvel,Suez Canal,"Connected the Mediterranean Sea to the Red Sea, boosting trade.",Global population,Ferdinand de Lesseps,Positive,30.56667224059973,32.44656711444554
979,Rwandan Genocide,Unknown,April,1994,Rwanda,Genocide,Rwanda,Mass slaughter of the Tutsi population.,Rwandans,"Hutu government officials, militias",Negative,-1.940278,29.873888
980,Idi Amin's Regime,Unknown,Unknown,1971,Uganda,Dictatorship,Uganda,"Brutal dictatorship, human rights abuses.",Ugandans,Idi Amin,Negative,1.373333,32.290275
981,Somali Civil War Begins,Unknown,Unknown,1991,Somalia,Civil War,Somalia,Led to state collapse and ongoing conflict.,Somalis,"Various warlords, clans",Negative,5.152149,46.199616
982,Independence from Britain,30,September,1966,Botswana,Independence,Botswana,Transition from British protectorate to independence.,Batswana,Seretse Khama,Positive,-22.328474,24.684866
983,Independence from South Africa,21,March,1990,Namibia,Independence,Namibia,End of South African rule and apartheid in Namibia.,Namibians,"SWAPO, United Nations",Positive,-22.95764,18.49041
984,Mahdist War,Unknown,Unknown,1881,Sudan,Religious/Military War,Sudan,Establishment of the Mahdist state in Sudan.,Sudanese,Muhammad Ahmad,Mixed,12.862807,30.217636
985,Independence from France,7,August,1960,Côte d'Ivoire,Independence,Côte d'Ivoire,"End of French colonial rule, start of sovereignty.",Ivorians,Félix HouphouëtUnknownBoigny,Positive,7.539988999999999,-5.547079999999999
986,Ghana's Independence,6,March,1957,Ghana,Independence,Ghana,First SubUnknownSaharan African country to gain independence.,Ghanaians,Kwame Nkrumah,Positive,7.946527,-1.023194
987,Union of Tanganyika and Zanzibar,26,April,1964,Tanzania,Union,Tanzania,Formation of Tanzania through the union of two sovereign states.,Tanzanians,"Julius Nyerere, Abeid Amani Karume",Positive,-6.369028,34.888822
988,Libyan Revolution (1969),1,September,1969,Libya,Coup d'état,Libya,"Overthrow of the monarchy, Muammar Gaddafi came to power.",Libyans,Muammar Gaddafi,Mixed,26.3351,17.228331
989,Independence from France,26,June,1960,Madagascar,Independence,Madagascar,End of French colonial rule.,Malagasy,Philibert Tsiranana,Positive,-18.766947,46.869107
990,Ethiopian Revolution,12,September,1974,Ethiopia,Revolution,Ethiopia,"Overthrow of Emperor Haile Selassie, start of Derg regime.",Ethiopians,Derg,Negative,9.145000000000001,40.489673
991,Nigerian Civil War,6,July,1967,Nigeria,Civil War,Nigeria,"Conflict over the secessionist state of Biafra, massive casualties.",Nigerians,"Yakubu Gowon, Odumegwu Ojukwu",Negative,9.081999,8.675277
992,Sharpeville Massacre,21,March,1960,South Africa,Massacre,Sharpeville,"AntiUnknownapartheid protest met with police violence, significant deaths.",South Africans,South African Police,Negative,-26.6864257,27.8750976
993,Battle of Algiers,Unknown,Unknown,1956,Algeria,Military Engagement,Algiers,Pivotal conflict in the Algerian War of Independence.,Algerians,"FLN, French paratroopers",Mixed,36.753768,3.0587561
994,Independence from Portugal,25,June,1975,Mozambique,Independence,Mozambique,End of Portuguese colonial rule after a protracted liberation struggle.,Mozambicans,FRELIMO,Positive,-18.665695,35.529562
995,Independence from Britain,24,October,1964,Zambia,Independence,Zambia,"Gained sovereignty, ending British colonial rule.",Zambians,Kenneth Kaunda,Positive,-13.133897,27.849332
996,Independence from France,4,April,1960,Senegal,Independence,Senegal,Gained independence along with the Mali Federation.,Senegalese,Léopold Sédar Senghor,Positive,14.497401,-14.452362
997,Independence from Belgium,30,June,1960,Congo (DRC),Independence,Congo (DRC),"End of Belgian colonial rule, beginning of postUnknowncolonial challenges.",Congolese,Patrice Lumumba,Mixed,-4.038333,21.758664
998,Independence from Britain,27,April,1961,Sierra Leone,Independence,Sierra Leone,Transition to sovereignty after British rule.,Sierra Leoneans,Milton Margai,Positive,8.460555,-11.779889
999,Independence from France,22,September,1960,Mali,Independence,Mali,Gained independence as part of the Mali Federation.,Malians,Modibo Keïta,Positive,17.570692,-3.996166
1000,August Revolution,4,August,1983,Burkina Faso,Revolution,Burkina Faso,"Thomas Sankara came to power, initiating radical reforms.",Burkinabè,Thomas Sankara,Positive,12.238333,-1.561593
1001,Independence from Britain,18,April,1980,Zimbabwe,Independence,Zimbabwe,Marked the end of Rhodesian rule and the beginning of majority rule.,Zimbabweans,Robert Mugabe,Positive,-19.015438,29.154857
1002,Egyptian Revolution of 1952,23,July,1952,Egypt,Revolution,Egypt,"Overthrow of the monarchy, establishment of a republic.",Egyptians,Free Officers Movement,Positive,26.820553,30.802498
1003,Independence from Britain,12,December,1963,Kenya,Independence,Kenya,"End of British colonial rule, Jomo Kenyatta became president.",Kenyans,Jomo Kenyatta,Positive,-0.023559,37.906193
1004,Independence from France,1,January,1960,Cameroon,Independence,Cameroon,Gained independence from French administration.,Cameroonians,Ahmadou Ahidjo,Positive,7.369721999999999,12.354722
1005,Independence from Ethiopia,24,May,1993,Eritrea,Independence,Eritrea,"Achieved de facto independence after a 30Unknownyear war, followed by a UNUnknownsupervised referendum.",Eritreans,"EPLF, UN",Positive,15.179384,39.782334
1006,Nelson Mandela's Release from Prison,11,February,1990,South Africa,Political,South Africa,Marked the beginning of the end of apartheid.,South Africans,"F.W. de Klerk, ANC",Positive,-30.559482,22.937506
1007,Signing of Arusha Accords,4,August,1993,Rwanda,Peace Agreement,"Arusha, Tanzania",Attempted to end the Rwandan Civil War.,Rwandans,"Rwandan Government, RPF",Mixed,-3.3869254,36.6829927
1008,Comprehensive Peace Agreement,9,January,2005,Sudan,Peace Agreement,Sudan,"Ended the Second Sudanese Civil War, led to South Sudan's independence.","Sudanese, South Sudanese","SPLM, Government of Sudan",Positive,12.862807,30.217636
1009,Libyan Civil War,17,February,2011,Libya,Civil War,Libya,Overthrow of Muammar Gaddafi's regime.,Libyans,"NTC, NATO, Gaddafi regime",Mixed,26.3351,17.228331
1010,Independence from Britain,1,October,1960,Nigeria,Independence,Nigeria,"Gained independence, became a republic in 1963.",Nigerians,Nigerian Independence Movement,Positive,9.081999,8.675277
1011,Dahomey (Benin) Independence,1,August,1960,Benin,Independence,Benin (Dahomey),Transition from French colonial rule to sovereignty.,Beninese,Hubert Maga,Positive,9.30769,2.315834
1012,Tunisian Revolution,18,December,2010,Tunisia,Revolution,Tunisia,"Triggered the Arab Spring, leading to democratization.",Tunisians,"Mohamed Bouazizi, Civil Society",Positive,33.886917,9.537499
1013,Abolition of Slavery,6,August,1981,Mauritania,Legal,Mauritania,"First country in the world to abolish slavery by law, though enforcement issues remain.",Mauritanians,Mauritanian Government,Positive,21.00789,-10.940835
1014,Independence from France,17,August,1960,Gabon,Independence,Gabon,End of French colonial rule.,Gabonese,Léon M'ba,Positive,-0.803689,11.609444
1015,Independence from Britain,4,October,1966,Lesotho,Independence,Lesotho,Transition from British protectorate to independent kingdom.,Basotho,Moshoeshoe II,Positive,-29.609988,28.233608
1016,Independence from Britain,18,February,1965,Gambia,Independence,Gambia,Gained independence within the Commonwealth.,Gambians,Dawda Jawara,Positive,13.443182,-15.310139
1017,Independence from France,27,June,1977,Djibouti,Independence,Djibouti,End of French colonial rule after referendum.,Djiboutians,Hassan Gouled Aptidon,Positive,11.825138,42.590275
1018,Independence from Spain,12,October,1968,Equatorial Guinea,Independence,Equatorial Guinea,Transition from Spanish colony to independence.,Equatoguineans,Francisco Macías Nguema,Positive,1.650801,10.267895
1019,Independence from Britain,29,June,1976,Seychelles,Independence,Seychelles,Became a sovereign state after 162 years of British rule.,Seychellois,"James Mancham, FranceUnknownAlbert René",Positive,-4.679574,55.491977
1020,Independence and Unification,1,July,1960,Somalia,Independence/Union,Somalia,Union of British Somaliland and Italian Somaliland.,Somalis,Somali Youth League,Positive,5.152149,46.199616
1021,Independence from Portugal,5,July,1975,Cape Verde,Independence,Cape Verde,Gained independence after the Carnation Revolution in Portugal.,Cape Verdeans,"Amílcar Cabral, PAIGC",Positive,16.5388,-23.0418
1022,Independence from Portugal,24,September,1973,GuineaUnknownBissau,Independence,GuineaUnknownBissau,"Declared independence, recognized in 1974 after the Carnation Revolution.",BissauUnknownGuineans,"Amílcar Cabral, PAIGC",Positive,11.8632196,-15.5843227
1023,Independence from France,6,July,1975,Comoros,Independence,Comoros,Gained independence following a referendum.,Comorians,Ahmed Abdallah,Positive,-11.6455,43.3333
1024,Independence from Portugal,11,November,1975,Angola,Independence,Angola,Achieved independence following the Carnation Revolution and Alvor Agreement.,Angolans,"MPLA, Agostinho Neto",Positive,-11.202692,17.873887
1025,Independence from France,13,August,1960,Central African Republic,Independence,Central African Republic,Transition from French colony to independence.,Central Africans,"Barthélemy Boganda, David Dacko",Positive,6.611110999999999,20.939444
1026,Independence from France,11,August,1960,Chad,Independence,Chad,Gained independence from French colonial rule.,Chadians,François Tombalbaye,Positive,,
1027,Independence from Britain,6,July,1964,Malawi,Independence,Malawi,Transition from British protectorate to independent nation.,Malawians,Hastings Banda,Positive,-13.254308,34.301525
1028,Independence from Belgium,1,July,1962,Burundi,Independence,Burundi,Gained independence alongside Rwanda from Belgian administration.,Burundians,Mwami Mwambutsa IV,Positive,-3.373056,29.918886
1029,Independence from France,15,August,1960,Congo (Brazzaville),Independence,Congo (Brazzaville),Became independent from French colonial empire.,Congolese (Brazzaville),Fulbert Youlou,Positive,-4.2744405,15.2812803
1030,Independence from France,27,April,1960,Togo,Independence,Togo,Transition from French mandate to sovereign state.,Togolese,Sylvanus Olympio,Positive,8.619543,0.824782
1031,Independence from France,7,August,1960,Ivory Coast (Côte d'Ivoire),Independence,Ivory Coast,Marked the end of French colonial rule in Ivory Coast.,Ivorians,Félix HouphouëtUnknownBoigny,Positive,7.539988999999999,-5.547079999999999
1032,Independence from France,3,August,1960,Niger,Independence,Niger,Gained independence from French colonial administration.,Nigeriens,Hamani Diori,Positive,17.607789,8.081666
1033,Independence from Britain,6,September,1968,Swaziland (Eswatini),Independence,Swaziland,Became independent from British rule.,Swazi,Sobhuza II,Positive,-26.522503,31.465866
1034,Independence from France,2,October,1958,Guinea,Independence,Guinea,"First French African colony to gain independence, rejecting the French Community.",Guineans,Ahmed Sékou Touré,Positive,9.945587,-9.696645
1035,Movement for Multiparty Democracy,Unknown,Unknown,1991,Zambia,Political,Zambia,Transition from oneUnknownparty state to multiparty democracy.,Zambians,Frederick Chiluba,Positive,-13.133897,27.849332
1036,Mozambique Civil War Ends,4,October,1992,Mozambique,Peace Agreement,"Rome, Italy","End of a devastating civil war, leading to peace and reconstruction.",Mozambicans,"Joaquim Chissano, RENAMO",Positive,41.8967068,12.4822025
1037,End of Apartheid,27,April,1994,South Africa,General Elections,South Africa,"First democratic elections open to all races, Nelson Mandela elected.",South Africans,"Nelson Mandela, ANC",Positive,-30.559482,22.937506
1038,Eritrean Independence Referendum,23Unknown25,April,1993,Ethiopia,Referendum,Eritrea,Eritreans vote for independence from Ethiopia.,Eritreans,"EPLF, UN",Positive,9.145000000000001,40.489673
1039,Namibian Independence,21,March,1990,Namibia,Independence,Namibia,Independence from South African rule.,Namibians,"Sam Nujoma, UN",Positive,-22.95764,18.49041
1040,Land Reform Program Begins,Unknown,Unknown,2000,Zimbabwe,Land Reform,Zimbabwe,Controversial redistribution of land from white to black Zimbabweans.,Zimbabweans,Robert Mugabe,Mixed,-19.015438,29.154857
1041,Algerian Civil War Ends,Unknown,Unknown,2002,Algeria,Peace Agreement,Algeria,End of a decadeUnknownlong civil war.,Algerians,Algerian Government,Positive,28.033886,1.659626
1042,End of Sierra Leone Civil War,18,January,2002,Sierra Leone,Peace Agreement,Sierra Leone,"Marked the end of the civil war, beginning of peacebuilding efforts.",Sierra Leoneans,"Government of Sierra Leone, RUF, UN",Positive,8.460555,-11.779889
1043,Gacaca Courts Initiated,Unknown,Unknown,2001,Rwanda,Justice System,Rwanda,"Community courts to address the genocide, promoting reconciliation and justice.",Rwandans,Rwandan Government,Mixed,-1.940278,29.873888
1044,Joseph Kony Insurgency Declines,Unknown,Unknown,2011,Uganda,Military,Northern Uganda,"Significant decline in LRA activities, improvement in regional security.",Ugandans,"Ugandan Military, International Efforts",Positive,2.8780034,32.7181375
1045,Fall of Gaddafi,20,October,2011,Libya,Revolution,"Sirte, Libya","Marked the end of Muammar Gaddafi's 42Unknownyear rule, leading to a period of instability.",Libyans,"NATO, Libyan Rebels",Mixed,30.1505798,16.912251
1046,Egyptian Revolution of 2011,25,January,2011,Egypt,Revolution,"Cairo, Egypt",Led to the overthrow of President Hosni Mubarak.,Egyptians,"Egyptian protestors, military",Mixed,30.0444196,31.2357116
1047,Coup d'état,22,March,2012,Mali,Coup,"Bamako, Mali","Military coup overthrew the government, leading to political instability and conflict.",Malians,"Malian soldiers, Amadou Sanogo",Negative,12.6391699,-8.0025475
1048,Seleka Rebellion Begins,Unknown,December,2012,Central African Republic,Rebellion,Central African Republic,"Sparked a civil war, leading to ongoing conflict and humanitarian crisis.",Central Africans,Seleka coalition,Negative,6.611110999999999,20.939444
1049,Boko Haram Insurgency Intensifies,Unknown,Unknown,2009,Nigeria,Insurgency,Northeast Nigeria,"Led to thousands of deaths and displacement, challenging national security.",Nigerians,Boko Haram,Negative,9.081999,8.675277
1050,Independence from Sudan,9,July,2011,South Sudan,Independence,South Sudan,"Became the newest country in the world, following a referendum.",South Sudanese,"SPLM, International Community",Positive,6.876991899999999,31.3069788
1051,Fall of Blaise Compaoré,31,October,2014,Burkina Faso,Revolution,"Ouagadougou, Burkina Faso","Ended Blaise Compaoré's 27Unknownyear rule, sparked by mass protests.",Burkinabè,Burkinabè protestors,Positive,12.3714277,-1.5196603
1052,Coup d'état Leads to Mugabe's Resignation,21,November,2017,Zimbabwe,Coup,"Harare, Zimbabwe","Ended Robert Mugabe's 37Unknownyear rule, Emmerson Mnangagwa became president.",Zimbabweans,"Zimbabwean Military, Emmerson Mnangagwa",Mixed,-17.8262928,31.0503723
1053,Appointment of Abiy Ahmed,2,April,2018,Ethiopia,Political,Ethiopia,Led to significant political reforms and a peace agreement with Eritrea.,Ethiopians,Abiy Ahmed,Positive,9.145000000000001,40.489673
1054,Sudanese Revolution,19,December,2018,Sudan,Revolution,Sudan,"Overthrow of President Omar alUnknownBashir, leading to transitional government.",Sudanese,"Sudanese protestors, military",Positive,12.862807,30.217636
